gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text
1167,A Strange Disappearance,"Green, Anna Katharine",541,en,"Detective Fiction/Category: Crime, Thrillers and Mystery/Category: Novels",Public domain in the USA.,TRUE
1182,Dope,"Rohmer, Sax",110,en,"Crime Fiction/Category: Crime, Thrillers and Mystery/Category: Novels/Category: British Literature",Public domain in the USA.,TRUE
1183,The Return of Dr. Fu-Manchu,"Rohmer, Sax",110,en,"Crime Fiction/Category: Crime, Thrillers and Mystery/Category: Novels/Category: British Literature",Public domain in the USA.,TRUE
1188,The Lair of the White Worm,"Stoker, Bram",190,en,"Horror/Gothic Fiction/Category: Science-Fiction & Fantasy/Category: Novels/Category: Mythology, Legends & Folklore/Category: British Literature",Public domain in the USA.,TRUE
1250,Anthem,"Rand, Ayn",572,en,Science Fiction/Science Fiction by Women/Category: Science-Fiction & Fantasy/Category: Novels/Category: American Literature,Public domain in the USA.,TRUE
1257,The three musketeers,"Dumas, Alexandre",492,en,Adventure/Historical Fiction/Best Books Ever Listings/Movie Books/Category: Adventure/Category: Novels/Category: Classics of Literature/Category: French Literature,Public domain in the USA.,TRUE
1257,The three musketeers,"Maquet, Auguste",3930,en,Adventure/Historical Fiction/Best Books Ever Listings/Movie Books/Category: Adventure/Category: Novels/Category: Classics of Literature/Category: French Literature,Public domain in the USA.,TRUE
1259,Twenty years after,"Dumas, Alexandre",492,en,Adventure/Historical Fiction/Movie Books/Category: Historical Novels/Category: Adventure/Category: Novels/Category: French Literature,Public domain in the USA.,TRUE
1259,Twenty years after,"Maquet, Auguste",3930,en,Adventure/Historical Fiction/Movie Books/Category: Historical Novels/Category: Adventure/Category: Novels/Category: French Literature,Public domain in the USA.,TRUE
1268,The Mysterious Island,"Verne, Jules",60,en,Science Fiction/Category: Science-Fiction & Fantasy/Category: Adventure/Category: Novels/Category: French Literature,Public domain in the USA.,TRUE
1281,"Tom Swift and His Aerial Warship; Or, The Naval Terror of the Seas","Appleton, Victor",267,en,Children's Book Series/Category: Children & Young Adult Reading/Category: Science-Fiction & Fantasy/Category: Adventure/Category: Novels,Public domain in the USA.,TRUE
